time,open,high,low,close,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,K,D,%R,%R
1751437320,245.75,247.95,245.75,247,NaN,NaN,NaN,NaN,243.57280899552947,NaN,240.16764013073785,NaN,NaN,NaN,86.89393129758513,87.4651243617851,-10.91954022988494,-8.33333333333325
1751437380,246.6,248,246.5,248,NaN,NaN,NaN,NaN,244.1262078710883,NaN,240.7858761176641,NaN,NaN,NaN,90.38932971362802,87.11073310293567,0,0
1751437440,247.9,248.85,246.4,247.5,NaN,NaN,NaN,NaN,244.54793188720225,NaN,241.0722885058977,NaN,NaN,NaN,95.44433633028598,90.90919911383305,-19.708029197080226,-10.97560975609753
1751437500,247.35,247.5,246.45,247,NaN,NaN,NaN,NaN,244.85444040130199,NaN,241.0722885058977,NaN,NaN,NaN,92.84735743690106,92.89367449360503,-34.57943925233638,-15.04065040650404
1751437560,247,249.6,247,248.3,NaN,NaN,NaN,NaN,245.28513535113925,NaN,241.9288036897771,NaN,NaN,NaN,91.79752945435119,93.36307440717944,-21.311475409835804,-9.96168582375467
1751437620,249,249,246.15,247.15,NaN,NaN,NaN,NaN,245.51824343224683,NaN,241.9288036897771,NaN,NaN,NaN,82.26233524261109,88.96907404462114,-40.16393442622936,-18.773946360153193
1751437680,247.7,248.5,247.7,248.5,NaN,NaN,NaN,NaN,245.89096300321597,NaN,241.9288036897771,NaN,NaN,NaN,83.2016682052744,85.75384430074558,-18.032786885245827,-8.429118773946328
1751437740,248.8,248.8,247,247.65,NaN,NaN,NaN,NaN,246.11084262781398,NaN,241.9288036897771,NaN,NaN,NaN,57.73085946106608,74.39828763631722,-31.967213114753942,-14.942528735632116
1751437800,247.25,247.75,244.75,245,NaN,NaN,NaN,NaN,245.97198729933723,NaN,241.9288036897771,NaN,NaN,NaN,36.28127891539736,59.071268860579316,-94.84536082474226,-35.24904214559387
1751437860,245.4,245.4,242.25,242.25,NaN,NaN,NaN,NaN,245.50673888692006,NaN,241.9288036897771,NaN,NaN,NaN,6.812696606575149,33.60827832767956,-100,-56.3218390804598
1751437920,241.65,241.8,240.35,240.6,NaN,NaN,NaN,NaN,244.89339652605506,NaN,NaN,247.77466438830115,NaN,NaN,4.736951571734001e-15,14.36465850732417,-97.29729729729729,-68.9655172413794
1751437980,241,241,238.6,240,NaN,NaN,NaN,NaN,244.28172196029817,NaN,NaN,246.54969794947107,NaN,NaN,4.736951571734001e-15,2.2708988688583855,-87.27272727272722,-73.56321839080465
1751438040,240.4,244.9,240.4,244,NaN,NaN,NaN,NaN,244.2465067152609,NaN,NaN,246.54969794947107,NaN,NaN,14.99592148709496,4.998640495698324,-50.90909090909086,-42.91187739463603
1751438100,243.85,246,243.8,245,NaN,NaN,NaN,NaN,244.34069337585328,NaN,NaN,246.54969794947107,NaN,NaN,33.140885503091205,16.045602330062056,-38.46153846153844,-35.24904214559387
1751438160,245.35,246.15,245,245.5,NaN,NaN,NaN,NaN,244.4856067038716,NaN,NaN,246.54969794947107,NaN,NaN,52.86272057653142,33.66650918890586,-32.352941176470644,-31.417624521072796
1751438220,245.5,247.65,244.5,247.65,NaN,NaN,NaN,NaN,244.88115586588765,NaN,238.78479317535204,NaN,NaN,NaN,64.56775765433228,50.19045457798497,-11.274509803921605,-14.942528735632116
1751438280,247.65,249.35,247.6,248.5,NaN,NaN,NaN,NaN,245.3335113826517,NaN,241.38881385781684,NaN,NaN,NaN,75.52014292184357,64.3168737175691,-7.906976744185994,-8.429118773946328
1751438340,248.85,248.95,246.9,248,NaN,NaN,NaN,NaN,245.66682245982022,NaN,241.38881385781684,NaN,NaN,NaN,82.77676648696064,74.28822235437883,-12.558139534883669,-12.260536398467405
1751438400,247.7,247.8,246.75,246.75,NaN,NaN,NaN,NaN,245.8022196523427,NaN,241.38881385781684,NaN,NaN,NaN,78.77969048292152,79.0255332972419,-24.186046511627854,-23.07692307692304
1751438460,246.7,247.9,246.7,247.45,NaN,NaN,NaN,NaN,246.00819219579986,NaN,241.38881385781684,NaN,NaN,NaN,74.83248694666256,78.79631463884824,-17.674418604651216,-19.545454545454596
1751438520,246.65,249,246.65,249,NaN,NaN,NaN,NaN,246.38216817132488,NaN,241.39466827211362,NaN,NaN,NaN,81.1557720000877,78.25598314322393,-3.9106145251396063,-5.454545454545403
1751438580,249.6,255.15,249.6,254.4,NaN,NaN,NaN,NaN,247.38439714990926,NaN,244.74270144490225,NaN,NaN,NaN,91.78522277256434,82.59116057310486,-6.607929515418506,-4.531722054380661
1751438640,254.3,254.3,251,251,NaN,NaN,NaN,NaN,247.8363475061706,NaN,244.76093130041204,NaN,NaN,NaN,89.54819148102337,87.49639541789179,-38.96713615023477,-25.07552870090636
1751438700,250.95,250.95,248.8,248.8,NaN,NaN,NaN,NaN,247.95680406789927,NaN,244.76093130041204,NaN,NaN,NaN,73.44688868995928,84.92676764784899,-59.62441314553982,-38.3685800604229
1751438760,248.35,248.35,246.5,246.5,NaN,NaN,NaN,NaN,247.77470355941188,NaN,244.76093130041204,NaN,NaN,NaN,51.972216813257916,71.65576566141353,-100,-52.26586102719033
1751438820,245.45,247.25,245.15,245.7,NaN,NaN,NaN,NaN,247.5153656144854,NaN,244.76093130041204,NaN,NaN,NaN,29.0591023575503,51.49273595358917,-94.50000000000017,-57.09969788519644
1751438880,246,247.95,244.7,246.5,NaN,NaN,NaN,NaN,247.38844491267474,NaN,244.76093130041204,NaN,NaN,NaN,14.610352749677082,31.880557306828425,-82.7751196172248,-52.26586102719033
1751438940,246.5,246.5,245.25,245.75,NaN,NaN,NaN,NaN,247.1836392985904,NaN,244.76093130041204,NaN,NaN,NaN,2.9283493643640015,15.532601490530459,-89.95215311004776,-56.79758308157099
1751439000,246,246.2,244.8,245.7,NaN,NaN,NaN,NaN,246.99818438626662,NaN,244.76093130041204,NaN,NaN,NaN,2.9283493643640015,6.822350492801692,-90.43062200956939,-57.09969788519644
1751439060,245.7,245.85,245.15,245.7,NaN,NaN,NaN,NaN,246.83591133798328,NaN,244.76093130041204,NaN,NaN,NaN,0.1766580713188901,2.0111189333489605,-90.43062200956939,-57.09969788519644
1751439120,245.6,245.8,243.6,243.95,NaN,NaN,NaN,NaN,246.47517242073536,NaN,NaN,251.25263683660995,NaN,NaN,6.069219201284189e-15,1.0350024785609622,-96.72897196261688,-67.67371601208465
1751439180,244.35,247,244.05,247,NaN,NaN,NaN,NaN,246.54077586814344,NaN,NaN,251.25263683660995,NaN,NaN,10.366606760838591,3.5144216107191624,-53.741496598639344,-49.244712990936556
1751439240,246.45,247,245.8,246.8,NaN,NaN,NaN,NaN,246.57317888462552,NaN,NaN,251.25263683660995,NaN,NaN,20.065164972110036,10.143923910982878,-32.63157894736806,-50.453172205437994
1751439300,246.4,246.4,244.25,245.15,NaN,NaN,NaN,NaN,246.39528152404733,NaN,NaN,251.25263683660995,NaN,NaN,24.3610706720018,18.26428080165014,-64.36781609195371,-60.422960725075484
1751439360,245.2,245.8,245.1,245.1,NaN,NaN,NaN,NaN,246.2333713335414,NaN,NaN,251.25263683660995,NaN,NaN,18.12870796437773,20.85164786949652,-65.5172413793103,-60.725075528700934
1751439420,245.1,246,243.05,243.05,NaN,NaN,NaN,NaN,245.83544991684875,NaN,NaN,250.9506880256498,NaN,NaN,8.430149753106285,16.97330946316194,-100,-73.11178247734131
1751439480,243.75,246,243.3,246,NaN,NaN,NaN,NaN,245.85601867724264,NaN,NaN,250.9506880256498,NaN,NaN,25.64076005208509,17.39987258985637,-25.316455696202606,-55.2870090634441
1751439540,246,247.5,245,245,NaN,NaN,NaN,NaN,245.7490163425873,NaN,NaN,250.9506880256498,NaN,NaN,40.88414430799376,24.985018037728377,-56.17977528089902,-61.32930513595166
1751439600,244.35,245,244.2,244.45,NaN,NaN,NaN,NaN,245.5866392997639,NaN,NaN,250.91617657069872,NaN,NaN,55.68842981242866,40.7377780575025,-68.53932584269705,-64.65256797583088
1751439660,245.1,245.65,244.2,244.7,NaN,NaN,NaN,NaN,245.47580938729342,NaN,NaN,250.91617657069872,NaN,NaN,51.46670879028749,49.34642763690331,-62.92134831460716,-70.84745762711877
1751439720,246.55,246.55,243.3,243.3,NaN,NaN,NaN,NaN,245.20383321388175,NaN,NaN,250.91617657069872,NaN,NaN,37.20623892970792,48.120459177474686,-94.3820224719101,-97.93388429752066
1751439780,244,244.4,243.05,244.4,NaN,NaN,NaN,NaN,245.10335406214654,NaN,NaN,249.96434272003938,NaN,NaN,39.110086175803794,42.59434463193306,-69.66292134831465,-88.84297520661161
1751439840,244.15,244.4,242.75,243,NaN,NaN,NaN,NaN,244.84043480437822,NaN,NaN,249.68540844803542,NaN,NaN,26.3059025888785,34.2074092314634,-94.73684210526316,-97.98387096774192
1751439900,242,242,240,241,NaN,NaN,NaN,NaN,244.36038045383094,NaN,NaN,247.3993676032319,NaN,NaN,21.188744140334883,28.868244301672387,-86.66666666666667,-93.39933993399339
1751439960,242.35,242.4,241.2,241.2,NaN,NaN,NaN,NaN,243.9653328971021,NaN,NaN,247.3993676032319,NaN,NaN,6.232969414653515,17.90920538128896,-84.00000000000016,-92.07920792079217
1751440020,242.1,243.2,242.1,243,NaN,NaN,NaN,NaN,243.84466628496432,NaN,NaN,247.3993676032319,NaN,NaN,19.373517749107545,15.598410434698641,-60,-80.1980198019802
1751440080,242.8,243.4,242.55,242.95,NaN,NaN,NaN,NaN,243.73283299934377,NaN,NaN,247.3993676032319,NaN,NaN,38.3510464004345,21.319177854731855,-54.961832061068954,-80.52805280528062
1751440140,241.95,243.45,241.3,243.45,228.843,255.45,NaN,NaN,243.6974788744258,NaN,NaN,247.3993676032319,NaN,NaN,60.472348126285965,39.39897075860934,-47.32824427480943,-77.22772277227732
1751440200,243.6,243.6,242.15,242.15,228.843,255.45,NaN,NaN,243.5040440151226,NaN,NaN,247.3993676032319,NaN,NaN,55.87499319366177,51.56612924012742,-67.17557251908394,-85.80858085808578
1751440260,242.7,244.15,241.8,243.5,228.843,255.45,NaN,NaN,243.50353851323226,NaN,NaN,247.3993676032319,NaN,NaN,63.40177402814493,59.91637178269756,-20.454545454545556,-75.52447552447555
1751440320,243.5,243.7,242.55,243,228.843,255.45,NaN,NaN,243.44059619907821,NaN,NaN,247.3993676032319,NaN,NaN,67.33372866711636,62.203498629641025,-31.818181818181905,-72.60273972602737
1751440380,242.55,244.2,242.55,244.05,228.843,255.45,NaN,NaN,243.51677167419345,NaN,NaN,247.3993676032319,NaN,NaN,87.64325720881573,72.79291996802567,-3.5714285714280396,-51.49700598802378
1751440440,244.2,245.7,243.6,244.2,228.843,255.45,NaN,NaN,243.60217521491927,NaN,NaN,247.3993676032319,NaN,NaN,94.47228105633899,83.14975564409036,-33.333333333333336,-47.16981132075478
1751440500,244.8,245.4,243.5,244.35,228.843,255.45,NaN,NaN,243.69565331305435,NaN,NaN,247.3993676032319,NaN,NaN,100,94.03851275505157,-30.681818181818212,-45.28301886792452
1751440560,243.6,243.9,242.95,243,228.843,255.45,NaN,NaN,243.60869664892255,NaN,NaN,247.3993676032319,NaN,NaN,86.79380033688564,93.75536046440821,-61.363636363636424,-60
1751440620,243,243,241.6,242.95,228.843,255.45,NaN,NaN,243.52635956780722,NaN,NaN,247.3993676032319,NaN,NaN,73.11182368089383,86.63520800592649,-62.50000000000032,-60.66666666666682
1751440680,243.15,243.6,242.65,242.65,228.843,255.45,NaN,NaN,243.41681462183132,NaN,NaN,247.3993676032319,NaN,NaN,56.43873247559815,72.11478549779254,-74.39024390243871,-64.66666666666659
1751440740,242.85,242.85,240,240.45,228.843,255.45,NaN,NaN,243.0459627941024,NaN,NaN,246.87405414883224,NaN,NaN,36.31159880537917,55.28738498729039,-92.10526315789492,-94.00000000000016
1751440800,241,241.3,234.35,234.8,228.843,255.45,NaN,NaN,242.0152174448396,NaN,NaN,244.814148733949,NaN,NaN,16.660242128037652,36.47019113633832,-96.03524229074874,-96.57794676806071
1751440860,234.5,234.5,227.85,228.8,NaN,NaN,NaN,NaN,240.36331526423464,NaN,NaN,239.55023386055413,NaN,NaN,2.3684757858670005e-15,17.657280311138937,-94.67787114845929,-95.16539440203553
1751440920,229.45,233.2,229.45,233.2,NaN,NaN,NaN,NaN,239.46790085620532,NaN,NaN,239.55023386055413,NaN,NaN,14.442420694634862,10.36755427422417,-70.02801120448181,-72.77353689567434
1751440980,233.9,234.55,233.7,234.55,220.477,246.55,NaN,NaN,238.85316324917966,NaN,NaN,239.55023386055413,NaN,NaN,32.64412163278802,15.69551410914096,-61.82336182336176,-65.90330788804063
1751441040,234.6,235.45,234.25,234.95,220.477,246.55,NaN,NaN,238.3652678430322,NaN,NaN,239.55023386055413,NaN,NaN,51.96334273563344,33.01662835435211,-55.76323987538947,-63.867684478371544
1751441100,235.45,237,235,237,220.477,246.55,NaN,NaN,238.19460936265318,NaN,NaN,239.55023386055413,NaN,NaN,62.398538633299445,49.002001000573635,-41.90476190476187,-53.43511450381678
1751441160,236.25,237.15,235.45,235.5,220.477,246.55,NaN,NaN,237.85778319232153,NaN,NaN,239.55023386055413,NaN,NaN,66.23652850088033,60.199469956604396,-51.428571428571395,-61.06870229007632
1751441220,236.25,236.25,234,234.15,220.477,246.55,NaN,NaN,237.39431029328134,NaN,NaN,239.55023386055413,NaN,NaN,66.52242598572586,65.05249770663521,-57.99999999999992,-66.31016042780745
1751441280,234.35,234.85,234,234,220.477,246.55,NaN,NaN,236.97002150662118,NaN,NaN,239.55023386055413,NaN,NaN,60.9769329313259,64.57862913931069,-54.27509293680299,-67.11229946524064
1751441340,234.2,234.7,233,234.3,220.477,246.55,NaN,NaN,236.63626881829353,NaN,NaN,239.55023386055413,NaN,NaN,62.85985123523583,63.45307005076253,-30.64516129032248,-65.50802139037427
1751441400,233.9,233.9,232.25,233.55,220.477,246.55,NaN,NaN,236.25048521600684,NaN,NaN,239.55023386055413,NaN,NaN,65.51932317815171,63.11870244823782,-46.75324675324658,-68.0672268907562
1751441460,235,238.95,234.3,238.5,220.477,246.55,NaN,NaN,236.53167456400598,NaN,NaN,239.55023386055413,NaN,NaN,79.52053297358415,69.2999024623239,-6.7164179104476025,-40.33613445378146
1751441520,238.3,240.55,238.3,240.55,220.477,246.55,NaN,NaN,237.03396524350524,NaN,231.89062008174938,NaN,NaN,NaN,88.93125719727352,77.99037111633646,0,-28.851540616246382
1751441580,240.55,241.6,239.75,240.55,220.477,246.55,NaN,NaN,237.47346958806708,NaN,233.33905807357445,NaN,NaN,NaN,100,89.48393005695256,-11.229946524063996,-28.851540616246382
1751441640,240.25,241.2,239.1,239.1,220.477,246.55,NaN,NaN,237.6767858895587,NaN,233.33905807357445,NaN,NaN,NaN,96.60150793884338,95.17758837870564,-26.737967914438517,-36.97478991596637
1751441700,239.35,240.1,239.35,239.8,220.477,246.55,NaN,NaN,237.94218765336385,NaN,233.33905807357445,NaN,NaN,NaN,93.55830578530276,96.71993790804872,-19.25133689839555,-33.05322128851529
1751441760,237.9,238.25,237.6,238,220.477,246.55,NaN,NaN,237.94941419669337,NaN,233.33905807357445,NaN,NaN,NaN,81.72388258129394,90.62789876848005,-38.502673796791406,-43.13725490196074
1751441820,239,240.15,238.55,239.15,220.477,246.55,NaN,NaN,238.0994874221067,NaN,233.33905807357445,NaN,NaN,NaN,78.34074454871214,84.54097763843629,-26.203208556149626,-36.69467787114838
1751441880,239.3,240,239,239.1,220.477,246.55,NaN,NaN,238.22455149434336,NaN,233.33905807357445,NaN,NaN,NaN,74.35363320377833,78.13942011126147,-26.737967914438517,-36.97478991596637
1751441940,238.7,238.7,237.15,237.35,220.477,246.55,NaN,NaN,238.11523255755043,NaN,233.33905807357445,NaN,NaN,NaN,70.62155527614091,74.43864434287713,-58.21917808219192,-46.77871148459382
1751442000,237.35,237.75,235.5,236.3,220.477,246.55,NaN,NaN,237.88832848785663,NaN,233.33905807357445,NaN,NaN,NaN,57.06899940559504,67.34806262850475,-86.88524590163915,-52.6610644257702
1751442060,236.3,237.05,235,235.25,220.477,246.55,NaN,NaN,237.55853742687455,NaN,233.33905807357445,NaN,NaN,NaN,39.167573166478526,55.61937594940482,-96.2121212121212,-58.543417366946734
1751442120,235,235,233.25,234.45,220.477,246.55,NaN,NaN,237.16997024851523,NaN,233.33905807357445,NaN,NaN,NaN,26.386474132109317,40.87434890139429,-84.90566037735861,-62.393162393162456
1751442180,234.3,234.8,233.6,233.6,220.477,246.55,NaN,NaN,236.72372396745084,NaN,233.33905807357445,NaN,NaN,NaN,14.804894702572343,26.78631400038672,-94.92753623188415,-64.17445482866046
1751442240,233,233,228.75,228.75,220.477,246.55,NaN,NaN,235.72700847151947,NaN,NaN,237.76667118187623,NaN,NaN,6.403301106829949,15.864889980503861,-99.99999999999999,-94.28571428571426
1751442300,228.95,229.85,223.45,227.8,220.477,246.55,NaN,NaN,234.73613241257954,NaN,NaN,234.7725040636886,NaN,NaN,1.4175679395121012,7.541921249638122,-73.95209580838313,-78.41191066997507
1751442360,227.9,228.1,227.05,228.05,220.477,246.55,NaN,NaN,233.9003658610071,NaN,NaN,234.7725040636886,NaN,NaN,1.1390352699286468,2.9866347720902238,-72.20543806646513,-76.28865979381432
1751442420,228,228,222.8,224.1,220.477,246.55,NaN,NaN,232.6753201283812,NaN,NaN,233.83772829158778,NaN,NaN,1.1390352699286468,1.2318794931231234,-91.82389937106929,-93.08510638297881
1751442480,223.5,223.5,221.8,221.9,220.477,246.55,NaN,NaN,231.32840511233354,NaN,NaN,230.933955462429,NaN,NaN,1.1390352699286468,1.1390352699286386,-99.37304075235114,-99.49494949494952
1751442540,222.6,223.2,219,219.25,NaN,NaN,NaN,NaN,229.81860447329186,NaN,NaN,229.8155599161861,NaN,NaN,2.220446049250313e-14,0.759356846619097,-98.61495844875347,-98.89380530973452
1751442600,218.8,221,215,220.9,NaN,NaN,NaN,NaN,228.70377891413037,NaN,NaN,227.64400392456747,NaN,NaN,5.83208735990781,2.3237075432788266,-70.49999999999997,-77.81954887218043
1751442660,220.05,222.2,220,220.1,NaN,NaN,NaN,NaN,227.62830654986408,NaN,NaN,227.64400392456747,NaN,NaN,10.778130851160192,5.536739403689341,-74.24242424242429,-80.82706766917295
1751442720,219.85,220.25,218.3,220.25,NaN,NaN,NaN,NaN,226.70601823113105,NaN,NaN,227.64400392456747,NaN,NaN,17.179815232753043,11.263344481273682,-70.83333333333333,-80.26315789473684
1751442780,220.05,220.85,215.15,216.15,NaN,NaN,NaN,NaN,225.38651595223968,NaN,NaN,227.64400392456747,NaN,NaN,12.76131881508571,13.573088299666315,-92.25589225589222,-95.6766917293233
1751442840,215.1,217.15,211.35,216.2,NaN,NaN,NaN,NaN,224.23820145820972,NaN,NaN,224.8114209749087,NaN,NaN,9.645287422959141,13.195473823599299,-71.04477611940301,-83.96694214876034
1751442900,215.55,216,212.75,212.75,NaN,NaN,NaN,NaN,222.8021762759335,NaN,NaN,224.8114209749087,NaN,NaN,3.243603041366267,8.550069759803707,-91.59159159159157,-95.37190082644626
1751442960,212.35,214.25,208.05,209.15,NaN,NaN,NaN,NaN,221.09565424144182,NaN,NaN,222.49625098967607,NaN,NaN,1.8300120991258118,4.90630085448374,-92.88025889967642,-96.72131147540986
1751443020,207.45,209.05,201,203.55,NaN,NaN,NaN,NaN,218.9024474612616,NaN,NaN,217.68162589070846,NaN,NaN,-2.960594732333751e-15,1.6912050468306914,-88.51351351351346,-93.71921182266007
1751443080,202.25,206.25,202.25,204,NaN,NaN,NaN,NaN,217.0396415286039,NaN,NaN,216.8409633016376,NaN,NaN,2.779308276600771,1.5364401252421924,-85.84905660377358,-92.61083743842364
1751443140,203.6,204.45,198.65,200.1,NaN,NaN,NaN,NaN,214.92218633752842,NaN,NaN,214.62186697147385,NaN,NaN,2.779308276600771,1.8528721844005123,-93.84288747346078,-96.62398137369037
1751443200,199.35,200.35,193.55,198.2,NaN,NaN,NaN,NaN,212.83191304533736,NaN,NaN,210.75468027432643,NaN,NaN,2.779308276600771,2.7793082766007706,-82.96703296703303,-90.32258064516134
1751443260,198.3,199.2,194.95,198.05,NaN,NaN,NaN,NaN,210.98417391467018,NaN,NaN,210.75468027432643,NaN,NaN,-2.960594732333751e-15,1.8528721844005123,-83.5164835164835,-90.55613850996852
1751443320,198.1,203.75,197.6,203.65,191.43099999999998,215.65,NaN,NaN,210.0674021753364,NaN,NaN,210.75468027432643,NaN,NaN,33.33333333333333,12.037547203311368,-57.20338983050849,-78.32618025751074
1751443380,203.1,204.15,201.05,202.65,191.43099999999998,215.65,NaN,NaN,209.14022690341938,NaN,NaN,210.75468027432643,NaN,NaN,64.78611985199167,32.70648439510833,-59.46547884187083,-80.47210300429185
1751443440,202.9,203.35,200.55,201.6,191.43099999999998,215.65,NaN,NaN,208.19769854049196,NaN,NaN,210.75468027432643,NaN,NaN,94.25688934317652,64.12544750950052,-61.111111111111164,-82.72532188841204
1751443500,201.3,202.8,200.8,202.35,191.43099999999998,215.65,NaN,NaN,207.46673622293045,NaN,NaN,210.75468027432643,NaN,NaN,94.25688934317652,84.43329951278157,-43.22580645161301,-81.05489773950487
1751443560,202.45,202.45,199.7,200.6,191.43099999999998,215.65,NaN,NaN,206.60839419506414,NaN,NaN,210.75468027432643,NaN,NaN,92.54465031357687,93.68614299997664,-44.48818897637804,-84.38538205980069
1751443620,200.1,201.6,199.85,201.45,NaN,NaN,NaN,NaN,205.96359492068112,NaN,NaN,210.75468027432643,NaN,NaN,96.40721415572534,94.40291793749292,-27.52293577981657,-82.12669683257923
1751443680,202,203,201.1,203,NaN,NaN,NaN,NaN,205.59314555559598,NaN,NaN,210.75468027432643,NaN,NaN,96.40721415572534,95.11969287500919,-10.849056603773644,-78.27586206896554
1751443740,202.8,204.3,202.1,204,NaN,NaN,NaN,NaN,205.39400236114648,NaN,NaN,210.75468027432643,NaN,NaN,100,97.60480943715022,-3.208556149732734,-74.78890229191799
1751443800,203.45,204,202.4,202.55,NaN,NaN,NaN,NaN,205.03850206600316,NaN,NaN,210.75468027432643,NaN,NaN,97.14152127176988,97.84957847583173,-26.11940298507456,-78.18181818181819
1751443860,202.25,203,189.4,189.9,NaN,NaN,NaN,NaN,203.14618930775276,NaN,NaN,209.10611601035072,NaN,NaN,77.93875050328884,91.69342392501959,-96.64429530201342,-98.8532110091743
1751443920,190.45,191.4,186.4,190.15,NaN,NaN,NaN,NaN,201.52166564428367,NaN,NaN,202.01550440931567,NaN,NaN,59.56651696730625,78.215596247455,-79.05027932960894,-91.36939010356733
1751443980,189.9,193.8,189.9,193.8,NaN,NaN,NaN,NaN,200.55645743874823,NaN,NaN,202.01550440931567,NaN,NaN,55.65103548054193,64.38543431704568,-58.65921787709495,-82.25419664268583
1751444040,193.6,195.7,193.6,194.2,NaN,NaN,NaN,NaN,199.7619002589047,NaN,NaN,202.01550440931567,NaN,NaN,69.28972952058629,61.50242732281149,-56.4245810055867,-81.25000000000003
1751444100,194.55,194.7,191.8,193.2,NaN,NaN,NaN,NaN,198.9416627265416,NaN,NaN,202.01550440931567,NaN,NaN,75.5915823568596,66.84411578599595,-62.01117318435765,-81.67115902964963
1751444160,193.25,195.25,191.8,193.1,NaN,NaN,NaN,NaN,198.2114548857239,NaN,NaN,202.01550440931567,NaN,NaN,70.04457622174108,71.641962699729,-62.56983240223472,-81.79347826086959
1751444220,193.15,193.85,190.8,193.65,NaN,NaN,NaN,NaN,197.64127302500842,NaN,NaN,202.01550440931567,NaN,NaN,66.70918321764168,70.78178059874746,-59.49720670391062,-79.7486033519553
1751444280,193.3,195.45,193,195.15,NaN,NaN,NaN,NaN,197.32986389688236,NaN,NaN,202.01550440931567,NaN,NaN,78.77956391735097,71.84444111891126,-50.28409090909089,-75.55865921787708
1751444340,194.6,195.15,194,195.15,NaN,NaN,NaN,NaN,197.05738090977206,NaN,NaN,202.01550440931567,NaN,NaN,91.10053026746392,78.86309246748554,-47.289156626506006,-74.60087082728592
