Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-07-07 09:54:00,164.0,2025-07-07 09:57:00,176.0,12.0,7.32%,Quick TP,Call Option (Hybrid Premium),150.88,150.88,178.2
2025-07-07 10:14:00,150.9,2025-07-07 10:17:00,146.45,-4.45,-2.95%,Williams28 Exit,Call Option (Hybrid Premium),138.83,138.83,152.2
2025-07-07 11:53:00,148.9,2025-07-07 12:01:00,145.05,-3.85,-2.59%,Williams28 Exit,Call Option (Hybrid Premium),136.99,136.99,150.45
2025-07-07 12:19:00,136.35,2025-07-07 12:28:00,148.35,12.0,8.80%,Quick TP,Call Option (Hybrid Premium),125.44,125.44,152.2
2025-07-07 13:04:00,139.25,2025-07-07 13:20:00,151.25,12.0,8.62%,Quick TP,Call Option (Hybrid Premium),128.11,128.11,157.4
2025-07-07 13:56:00,152.4,2025-07-07 14:30:00,151.4,-1.0,-0.66%,Williams28 Exit,Call Option (Hybrid Premium),140.21,140.21,161.85
2025-07-07 14:34:00,141.5,2025-07-07 14:41:00,140.15,-1.35,-0.95%,Williams28 Exit,Call Option (Hybrid Premium),130.18,130.18,145.8
2025-07-07 14:54:00,142.15,2025-07-07 15:02:00,154.15,12.0,8.44%,Quick TP,Call Option (Hybrid Premium),130.78,130.78,154.8
2025-07-07 09:41:00,131.00,2025-07-07 09:50:00,143.00,12.00,9.16%,Quick TP,Put Option (Hybrid Premium),120.52,120.52,143.30
2025-07-07 10:57:00,132.80,2025-07-07 12:11:00,144.80,12.00,9.04%,Quick TP,Put Option (Hybrid Premium),122.18,122.18,150.60
