Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-07-09 09:35:00,138.1,2025-07-09 09:37:00,138.3,0.2,0.14%,Williams28 Exit,Call Option (Hybrid Premium),127.05,127.05,144.75
2025-07-09 10:50:00,174.0,2025-07-09 10:59:00,166.6,-7.4,-4.25%,Williams28 Exit,Call Option (Hybrid Premium),160.08,160.08,175.3
2025-07-09 11:05:00,166.0,2025-07-09 11:17:00,178.0,12.0,7.23%,Quick TP,Call Option (Hybrid Premium),152.72,152.72,189.95
2025-07-09 11:56:00,167.85,2025-07-09 12:02:00,163.0,-4.85,-2.89%,Williams28 Exit,Call Option (Hybrid Premium),154.42,154.42,168.8
2025-07-09 12:50:00,175.45,2025-07-09 13:03:00,166.4,-9.05,-5.16%,Williams28 Exit,Call Option (Hybrid Premium),161.41,161.41,177.85
2025-07-09 13:06:00,162.05,2025-07-09 13:08:00,159.25,-2.8,-1.73%,Williams28 Exit,Call Option (Hybrid Premium),149.09,149.09,164.05
2025-07-09 13:54:00,167.55,2025-07-09 14:05:00,163.4,-4.15,-2.48%,Williams28 Exit,Call Option (Hybrid Premium),154.15,154.15,173.6
2025-07-09 14:09:00,167.0,2025-07-09 14:16:00,163.0,-4.0,-2.40%,Williams28 Exit,Call Option (Hybrid Premium),153.64,153.64,173.0
2025-07-09 14:21:00,159.3,2025-07-09 14:23:00,154.95,-4.35,-2.73%,Williams28 Exit,Call Option (Hybrid Premium),146.56,146.56,161.55
2025-07-09 14:38:00,137.2,2025-07-09 14:42:00,126.22,-10.98,-8.00%,SL Hit,Call Option (Hybrid Premium),126.22,126.22,137.2
2025-07-09 14:55:00,120.15,2025-07-09 15:02:00,132.15,12.0,9.99%,Quick TP,Call Option (Hybrid Premium),110.54,110.54,136.5
2025-07-09 10:02:00,112.95,2025-07-09 10:05:00,113.70,0.75,0.66%,Williams28 Exit,Put Option (Hybrid Premium),103.91,103.91,115.35
2025-07-09 10:17:00,102.95,2025-07-09 10:25:00,94.71,-8.24,-8.00%,SL Hit,Put Option (Hybrid Premium),94.71,94.71,103.60
2025-07-09 10:29:00,99.80,2025-07-09 11:13:00,96.45,-3.35,-3.36%,Williams28 Exit,Put Option (Hybrid Premium),84.83,84.83,104.85
2025-07-09 11:20:00,91.45,2025-07-09 11:28:00,87.15,-4.30,-4.70%,Williams28 Exit,Put Option (Hybrid Premium),77.73,77.73,92.40
2025-07-09 11:32:00,87.70,2025-07-09 11:34:00,86.00,-1.70,-1.94%,Williams28 Exit,Put Option (Hybrid Premium),74.55,74.55,88.25
2025-07-09 12:33:00,88.55,2025-07-09 12:36:00,86.85,-1.70,-1.92%,Williams28 Exit,Put Option (Hybrid Premium),75.27,75.27,89.30
2025-07-09 12:39:00,88.25,2025-07-09 12:40:00,85.45,-2.80,-3.17%,Williams28 Exit,Put Option (Hybrid Premium),75.01,75.01,88.25
2025-07-09 12:43:00,88.70,2025-07-09 12:48:00,92.17,3.47,3.91%,Trailing SL,Put Option (Hybrid Premium),75.39,92.17,97.60
2025-07-09 14:17:00,97.95,2025-07-09 14:20:00,99.90,1.95,1.99%,Trailing SL,Put Option (Hybrid Premium),83.26,99.90,108.95
