Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High
2025-07-10 09:26:00,263.50,2025-07-10 09:27:00,257.75,-5.75,-2.18%,Williams28 Exit,Call Option (Hybrid Premium),245.05,245.05,265.80
2025-07-10 09:36:00,258.80,2025-07-10 09:43:00,249.40,-9.40,-3.63%,Williams28 Exit,Call Option (Hybrid Premium),240.68,240.68,261.15
2025-07-10 09:59:00,243.80,2025-07-10 10:08:00,237.50,-6.30,-2.58%,Williams28 Exit,Call Option (Hybrid Premium),224.30,224.30,247.35
2025-07-10 10:16:00,233.75,2025-07-10 10:47:00,235.75,2.00,0.86%,Williams28 Exit,Call Option (Hybrid Premium),215.05,215.05,245.95
2025-07-10 10:58:00,225.00,2025-07-10 11:00:00,221.35,-3.65,-1.62%,Williams28 Exit,Call Option (Hybrid Premium),207.00,207.00,226.20
2025-07-10 11:28:00,214.05,2025-07-10 11:59:00,211.80,-2.25,-1.05%,Williams28 Exit,Call Option (Hybrid Premium),196.93,196.93,221.75
2025-07-10 12:14:00,208.75,2025-07-10 12:23:00,220.75,12.00,5.75%,Quick TP,Call Option (Hybrid Premium),192.05,192.05,221.85
2025-07-10 12:49:00,218.55,2025-07-10 13:06:00,212.10,-6.45,-2.95%,Williams28 Exit,Call Option (Hybrid Premium),201.07,201.07,225.00
2025-07-10 13:13:00,213.00,2025-07-10 13:25:00,212.15,-0.85,-0.40%,Williams28 Exit,Call Option (Hybrid Premium),195.96,195.96,221.40
2025-07-10 13:29:00,214.10,2025-07-10 13:39:00,211.95,-2.15,-1.00%,Williams28 Exit,Call Option (Hybrid Premium),196.97,196.97,219.20
2025-07-10 14:51:00,211.30,2025-07-10 14:56:00,205.00,-6.30,-2.98%,Williams28 Exit,Call Option (Hybrid Premium),194.40,194.40,211.30
