time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,%R,%R,K,D
1752134280,94.3,94.65,93.5,93.8,NaN,89.3,NaN,98.57181359797394,0,95.1348571279849,-65.82278481012675,-82.11920529801331,53.443098910466865,60.00343674115921
1752134340,94,94,93.5,93.7,NaN,89.3,NaN,98.54939658131624,0,94.9554999869868,-68.35443037974686,-83.44370860927152,41.431534616016776,52.682881261129495
1752134400,93.25,93.25,90.85,91.7,NaN,89.3,NaN,97.22445692318462,0,94.54856248861344,-84.68468468468457,-90.71038251366112,28.721450282079136,41.19869460285426
1752134460,91.6,92.7,90.85,92.65,NaN,89.3,NaN,96.98701123086617,0,94.31124217753677,-67.56756756756742,-80.3278688524589,27.819700673029065,32.657561857041664
1752134520,92.5,94.7,92.5,94.2,NaN,89.3,NaN,96.98701123086617,0,94.29733690534468,-39.63963963963961,-63.38797814207644,38.08102204634598,31.54072433381806
1752134580,94,94.3,92.45,92.45,NaN,89.3,NaN,96.98701123086617,0,94.06641979217659,-71.17117117117108,-82.51366120218572,49.182715621045304,38.361146113473445
1752134640,92.7,94.15,92.6,93.95,NaN,89.3,NaN,96.98701123086617,0,94.05186731815452,-44.14414414414411,-64.97175141242931,62.514607745042724,49.92611513747801
1752134700,93.95,94.95,93.2,94.05,NaN,89.3,NaN,96.98701123086617,0,94.05163390338521,-40.18691588785051,-63.84180790960452,62.923102958911045,58.20680877499969
1752134760,94.05,94.6,93.75,94.3,NaN,89.3,NaN,96.98701123086617,0,94.08267966546205,-15.853658536585472,-61.01694915254238,76.46355325397356,67.30042131930911
1752134820,94.6,94.75,94.2,94.55,NaN,89.3,NaN,96.98701123086617,0,94.1410947072793,-9.756097560975729,-56.976744186046524,80.76965071953994,73.38543564414151
1752134880,94.45,95.55,94.45,95.2,NaN,89.3,NaN,96.98701123086617,0,94.27345786886939,-7.4468085106381725,-49.41860465116274,89.25136537073568,82.16152311474973
1752134940,95,96.5,95,96.5,NaN,89.3,NaN,96.98701123086617,0,94.55177563526071,0,-27.096774193548313,95.68535762715243,88.56879123914268
1752135000,96.4,97.5,95.85,96.55,NaN,89.3,NaN,96.98701123086617,0,94.80155368085312,-18.81188118811888,-26.45161290322577,100,94.9789076659627
1752135060,96.9,97.5,95.9,97.3,NaN,89.3,92.0757378359479,NaN,0,95.11385947074648,-3.960396039604019,-16.77419354838706,100,98.56178587571748
1752135120,97,98,96,96.15,NaN,89.3,92.23816405235311,NaN,0,95.24337703690317,-34.25925925925912,-31.612903225806306,92.14466874366774,97.38155624788924
1752135180,96.45,100,96.4,99.15,NaN,89.3,92.7593476471178,NaN,0,95.73170490729028,-12.499999999999922,-9.289617486338729,92.14466874366774,94.76311249577849
1752135240,99.9,104.95,99.35,104.65,NaN,94.31,95.51341288240603,NaN,0,96.846491793879,-2.6785714285714026,-2.1276595744680638,92.14466874366774,92.14466874366774
1752135300,105.15,110.4,102.75,104.15,NaN,94.31,98.30707159416542,NaN,0,97.75943031964412,-38.58024691358024,-31.969309462915582,97.89174425909171,94.0603605821424
1752135360,104.3,106.1,103.3,105.3,NaN,94.96,98.30707159416542,NaN,0,98.7020015296886,-31.97492163009409,-26.086956521739157,97.56441212726804,95.86694171000916
1752135420,104.85,105.05,102.3,103.05,NaN,94.96,98.30707159416542,NaN,0,99.24550133847752,-47.72727272727277,-37.59590792838877,86.20262534134254,93.88626057590078
1752135480,103,104.4,100.75,101.9,NaN,94.96,98.30707159416542,NaN,0,99.57731367116783,-58.41924398625425,-43.47826086956519,71.74291602676105,85.16998449845723
1752135540,102.2,102.5,97.4,98.15,NaN,94.96,NaN,109.23144782706807,0,99.39889946227186,-84.48275862068965,-62.659846547314544,40.708708095752485,66.2180831546187
1752135600,97.25,97.25,93.1,94.35,NaN,NaN,NaN,105.04330304436127,0,98.76778702948788,-92.77456647398844,-82.09718670076727,18.73716154834466,43.729595223619405
1752135660,94.05,96.75,94.05,96.05,NaN,NaN,NaN,105.04330304436127,0,98.42806365080189,-82.94797687861272,-73.40153452685422,6.289437055039746,21.911768899712303
1752135720,96.15,98.4,96.15,97,NaN,NaN,NaN,105.04330304436127,0,98.24955569445166,-77.45664739884391,-68.54219948849104,10.94207389000698,11.989557497797128
