time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,Stop Loss,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,Trigger,K,D,%R,%R
1752735960,25177.45,25177.45,25171.2,25174.7,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25189.94706104872,0,0,25178.288078690115,0,67.73707209737138,72.21873423532008,-70.33898305084563,-83.4515366430243
1752736020,25175.2,25176.85,25172.7,25174.35,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25189.94706104872,0,0,25177.79581885385,0,44.27509689018145,64.9084018899541,-72.12389380532726,-83.92857142858138
1752736080,25174.75,25175.1,25168.45,25169.55,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25187.544369449464,0,0,25176.76509149712,0,21.276010289975304,44.42939309250939,-92.17081850534802,-94.71153846154527
1752736140,25169.65,25173.25,25168.8,25171.15,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25186.55243250452,0,0,25176.06320505998,0,18.59465264964538,28.048586609934052,-78.2258064516032,-87.01923076922682
1752736200,25170.95,25173.2,25169,25173.1,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25186.33468925406,0,0,25175.692804427483,0,27.502687970111484,22.45778363657739,-62.500000000011,-76.86567164180023
1752736260,25173.55,25173.95,25170.95,25173.1,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25186.33468925406,0,0,25175.368703874046,0,46.282081416720985,30.79314067882595,-62.500000000011,-75.33156498674708
1752736320,25173.3,25189.7,25172.25,25189.6,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,25162.589901704207,NaN,0,0,25177.14761588979,1,70.89212022655232,48.22562987112826,-0.4705882353043896,-0.4705882353043896
1752736380,25189,25210.35,25189,25210,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,25176.723411533785,NaN,0,0,25181.254163903566,0,85.44606011327615,67.54008725218314,-0.8353221957006278,-0.8353221957006278
1752736440,25210.45,25210.45,25193.35,25193.55,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,25176.723411533785,NaN,0,0,25182.79114341562,0,86.61953825983466,80.98590619988771,-40.2380952380987,-40.2380952380987
1752736500,25193.75,25193.75,25186.9,25187.5,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,25176.723411533785,NaN,0,0,25183.379750488668,0,69.51748123335632,80.5276932021557,-54.64285714285887,-54.64285714285887
1752736560,25188.3,25192.1,25186.5,25189.85,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,25176.723411533785,NaN,0,0,25184.188531677584,0,53.58629550303079,69.90777166540725,-49.047619047624245,-49.047619047624245
1752736620,25189.8,25190.4,25187.1,25188.8,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,25176.723411533785,NaN,0,0,25184.764965217888,0,50.3649562171064,57.82291098449783,-51.98079231692845,-51.54761904762251
1752736680,25188.75,25188.75,25176.8,25178.25,25196.13333333333,25188.175,25204.091666666664,25271.216666666664,25330.383333333335,25405.466666666664,25464.633333333335,25136.966666666664,25061.88333333333,25002.716666666664,24927.63333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25255.3,25121.05,NaN,NaN,NaN,NaN,NaN,NaN,25176.723411533785,NaN,0,0,25183.950594565653,0,44.788489647795366,49.57991378931084,-77.68395657418615,-76.6666666666684
