time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1752810300,25144.6,25144.6,25102.15,25115.55,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,60.614842297087534,63.019387235292506,-68.43345111896646,-66.62844036697304,2025-07-18 09:15:00
1752810360,25115.85,25115.85,25095.8,25102.35,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,43.18416758282038,54.85454193192794,-86.57786885246031,-86.57786885246031,2025-07-18 09:16:00
1752810420,25100.7,25100.7,25086.55,25093.8,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,32.23558484115359,45.34486490702051,-87.51076658053387,-87.51076658053387,2025-07-18 09:17:00
1752810480,25092.7,25099.1,25084.35,25095.85,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,4.358861515159613,26.59287131304453,-80.91286307053942,-80.91286307053942,2025-07-18 09:18:00
1752810540,25096.05,25096.05,25082.05,25086.2,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,4.358861515159613,13.65110262382427,-93.36530775379455,-93.36530775379455,2025-07-18 09:19:00
1752810600,25086.7,25097.0,25084.8,25094.85,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,18.344520383362028,9.020747804560417,-79.5363709032783,-79.5363709032783,2025-07-18 09:20:00
1752810660,25094.1,25095.1,25082.55,25085.2,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,20.02580764407757,14.2430631808664,-94.96402877697604,-94.96402877697604,2025-07-18 09:21:00
1752810720,25085.05,25095.7,25082.95,25088.05,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25125.397491938424,30.212757237051463,22.861028421497014,-90.40767386091116,-90.40767386091116,2025-07-18 09:22:00
1752810780,25087.65,25091.65,25085.1,25087.8,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25123.70002091462,26.201557512312416,25.480040797813817,-90.80735411670652,-90.80735411670652,2025-07-18 09:23:00
1752810840,25088.7,25089.25,25077.75,25080.8,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25118.74251882316,24.440490529487633,26.95160175961717,-91.9947506561696,-95.43754674644826,2025-07-18 09:24:00
