time,open,high,low,close,Volume,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,EMA,Up Trend,Down Trend,K,D,%R,%R
1750657740,24927.2,24927.55,24922.9,24925.8,402042,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24922.25696783547,24908.733711212535,NaN,78.88302176942996,80.21559433096212,-40.64171122995661,-24.67532467532943
1750657800,24925.25,24926.75,24922.1,24925.75,275963,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24922.693596856036,24908.733711212535,NaN,76.81849000107837,77.90298001759504,-45.00000000000856,-24.837662337664714
1750657860,24925.85,24929.65,24920.35,24920.6,276793,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24922.43189724903,24908.733711212535,NaN,50.042700167336854,68.58140397928173,-98.0842911877399,-41.55844155844708
1750657920,24921.35,24932.85,24920.55,24931.9,282585,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24923.6154100929,24908.733711212535,NaN,53.06661898447276,59.975936384296,-11.494252873560654,-4.87012987012941
1750657980,24932.25,24932.7,24927.8,24932.35,385088,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24924.70723383129,24909.037616446105,NaN,58.84051142598057,53.98327685926339,-6.976744186057005,-3.409090909100036
1750658040,24931.85,24944.2,24931.35,24942.7,403732,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24926.956329602377,24914.828854801497,NaN,91.36520591862494,67.75744544302609,-6.289308176100053,-3.6057692307690417
1750658100,24943.5,24948.85,24941.45,24946.8,471274,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24929.43678840208,24922.278469321347,NaN,96.1543472562774,82.12002153362764,-7.1929824561377975,-4.4324324324308595
1750658160,24946.5,24949.15,24937.15,24938.45,415512,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24930.56343985182,24922.278469321347,NaN,83.5563964582806,90.35864987772766,-37.15277777777655,-22.98603651987123
1750658220,24938.15,24942.05,24936.95,24940.55,574614,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24931.811759870343,24922.278469321347,NaN,69.39507915625927,83.03527429027243,-29.861111111115672,-18.47475832438592
1750658280,24940.25,24948.3,24940.05,24944.5,571872,25010.75,24959.925000000003,25061.574999999997,25237.85,25363.299999999996,25590.4,25715.85,24885.3,24658.2,24532.75,24305.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25136.2,24783.65,NaN,NaN,NaN,NaN,24933.39778988655,24922.278469321347,NaN,59.37855145738246,70.77667569064077,-16.145833333336753,-9.989258861441813
