Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-06-30 09:22:00,218.8,2025-06-30 09:23:00,228.8,10.0,4.57%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),205.67,205.67,232.0,False
2025-06-30 10:04:00,194.7,2025-06-30 10:05:00,204.7,10.0,5.14%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),183.02,183.02,209.8,False
2025-06-30 10:35:00,193.95,2025-06-30 10:39:00,190.4,-3.55,-1.83%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),182.31,182.31,199.95,False
2025-06-30 10:53:00,182.3,2025-06-30 11:04:00,182.3,0.0,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),171.36,182.3,190.1,False
2025-06-30 11:22:00,176.7,2025-06-30 11:36:00,186.7,10.0,5.66%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),166.1,176.7,187.8,False
2025-06-30 12:49:00,171.1,2025-06-30 12:54:00,164.2,-6.9,-4.03%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),160.83,160.83,171.6,False
2025-06-30 13:05:00,149.3,2025-06-30 13:08:00,142.75,-6.55,-4.39%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),140.34,140.34,151.9,False
2025-06-30 13:22:00,141.95,2025-06-30 13:23:00,139.3,-2.65,-1.87%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),133.43,133.43,144.25,False
2025-06-30 13:56:00,127.6,2025-06-30 14:02:00,127.6,0.0,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),119.94,127.6,135.4,False
2025-06-30 14:10:00,133.5,2025-06-30 14:35:00,126.1,-7.4,-5.54%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),125.49,125.49,136.95,False
2025-06-30 14:40:00,133.15,2025-06-30 14:41:00,126.8,-6.35,-4.77%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),125.16,125.16,133.15,False
2025-06-30 10:22:00,130.30,2025-06-30 11:23:00,138.29,7.99,6.13%,Trailing SL,Put Option (Enhanced Hybrid Premium),122.48,138.29,146.50,True
2025-06-30 11:38:00,134.90,2025-06-30 11:41:00,130.80,-4.10,-3.04%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),126.81,126.81,134.90,False
2025-06-30 11:56:00,132.80,2025-06-30 12:16:00,124.83,-7.97,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),124.83,124.83,136.90,True
2025-06-30 12:26:00,126.65,2025-06-30 12:31:00,136.65,10.00,7.90%,Fixed TP (Average Signal),Put Option (Enhanced Hybrid Premium),119.05,126.65,136.90,False
2025-06-30 14:13:00,190.55,2025-06-30 14:22:00,182.90,-7.65,-4.01%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),179.12,179.12,194.45,False
2025-06-30 14:28:00,189.90,2025-06-30 14:46:00,182.85,-7.05,-3.71%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),178.51,178.51,199.00,False
2025-06-30 14:54:00,187.45,2025-06-30 15:03:00,180.00,-7.45,-3.97%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),176.20,176.20,192.55,False
