--- Weekly CPR-Based Analytics Report ---

Format: Trades / Win% / ₹P&L / P/L%
Note: Dates with zero activity have been excluded

=== WEEK 2: 2006 to 2606 ===

| Date   | CPR Width  | Index Call                     | Index Put                      | Reversal Call                  | Reversal Put                   | Total                          |
|--------|------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|
| 2406   | 20.65      | 3 / 66.7% / ₹-1.80 / -5.2%     | ❌ No Signal                    | 0 / 0% / ₹0.00 / 0.0%          | ❌ No Signal                    | 3 / 66.7% / ₹-1.80 / -5.2%     |
| 2506   | 76.23      | 2 / 100.0% / ₹20.00 / 10.9%    | ❌ No Signal                    | 8 / 62.5% / ₹19.70 / 13.6%     | ❌ No Signal                    | 10 / 70.0% / ₹39.70 / 24.6%    |
|--------|------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|
| TOTAL  |            | 5 / 80.0% / ₹18.20 / 5.7%      | 0 / 0% / ₹0.00 / 0.0%          | 8 / 62.5% / ₹19.70 / 13.6%     | 0 / 0% / ₹0.00 / 0.0%          | 13 / 69.2% / ₹37.90 / 19.4%    |

=== WEEK 3: 2706 to 0307 ===

| Date   | CPR Width  | Index Call                     | Index Put                      | Reversal Call                  | Reversal Put                   | Total                          |
|--------|------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|
| 2706   | 90.93      | 1 / 0.0% / ₹0.00 / 0.0%        | ❌ No Signal                    | 9 / 33.3% / ₹-18.15 / -10.2%   | ❌ No Signal                    | 10 / 30.0% / ₹-18.15 / -10.2%  |
| 3006   | 32.62      | 5 / 40.0% / ₹9.55 / 4.9%       | 2 / 100.0% / ₹17.99 / 14.0%    | ❌ No Signal                    | ❌ No Signal                    | 7 / 57.1% / ₹27.54 / 19.0%     |
| 0107   | 36.18      | 1 / 0.0% / ₹-11.60 / -7.2%     | 7 / 28.6% / ₹7.43 / 5.1%       | ❌ No Signal                    | ❌ No Signal                    | 8 / 25.0% / ₹-4.17 / -2.1%     |
