type,comments,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,target
Call,Reversal,25555.4,25562.9,25554.65,25557.05,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0
Call,Reversal,25549.0,25551.9,25541.7,25542.25,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Put,Reversal,25573.5,25573.5,25566.4,25568.95,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Call,Continuation,25602.75,25606.25,25599.65,25604.5,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Put,Reversal,25606.4,25606.65,25598.3,25600.1,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0
Put,Reversal,25627.15,25629.4,25622.7,25624.7,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,0
Call,Continuation,25623.1,25626.45,25621.15,25624.9,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Put,Reversal,25641.25,25642.9,25638.55,25638.55,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Put,Reversal,25645.6,25645.95,25641.9,25642.65,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Call,Reversal,25616.45,25622.4,25614.9,25619.95,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Call,Reversal,25610.4,25621.1,25609.05,25619.9,25458.066666666666,25412.6,25503.533333333333,25656.23333333333,25763.466666666667,25961.633333333324,26068.86666666666,25350.833333333332,25152.666666666668,25045.433333333334,24847.26666666667,25565.3,25259.9,1
Call,Reversal,25606.8,25607.9,25598.55,25607.9,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Call,Reversal,25547.35,25558.75,25546.1,25558.75,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Put,Reversal,25593.65,25593.7,25571.8,25572.65,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Call,Reversal,25560.45,25560.75,25557.6,25560.75,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,0
Put,Continuation,25564.4,25565.9,25556.9,25557.75,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Call,Reversal,25542.6,25546.25,25541.1,25546.25,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Put,Reversal,25559.2,25559.85,25546.55,25547.85,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,0
Call,Reversal,25548.8,25554.6,25548.3,25553.65,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,0
Put,Continuation,25550.3,25550.65,25540.9,25540.9,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Call,Reversal,25512.35,25514.05,25511.3,25512.05,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,0
Call,Reversal,25501.25,25506.4,25499.15,25506.4,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,0
Call,Reversal,25485.35,25488.05,25484.75,25484.8,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Call,Reversal,25487.45,25497.05,25486.25,25496.0,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,1
Put,Reversal,25488.95,25490.7,25486.85,25488.9,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,0
Put,Reversal,25525.5,25525.9,25511.1,25512.45,25605.183333333334,25588.875,25621.49166666667,25686.81666666667,25735.833333333332,25817.46666666667,25866.483333333337,25556.166666666668,25474.533333333333,25425.516666666663,25343.88333333333,25654.2,25523.55,0
Put,Reversal,25553.15,25559.6,25552.0,25556.7,25553.233333333337,25535.14166666667,25571.324999999997,25633.166666666668,25749.28333333333,25829.216666666664,25945.333333333325,25437.11666666667,25357.183333333334,25241.06666666667,25161.133333333335,25669.35,25473.3,0
Put,Reversal,25580.25,25583.35,25574.8,25575.3,25553.233333333337,25535.14166666667,25571.324999999997,25633.166666666668,25749.28333333333,25829.216666666664,25945.333333333325,25437.11666666667,25357.183333333334,25241.06666666667,25161.133333333335,25669.35,25473.3,0
Call,Continuation,25583.2,25589.35,25581.85,25587.75,25553.233333333337,25535.14166666667,25571.324999999997,25633.166666666668,25749.28333333333,25829.216666666664,25945.333333333325,25437.11666666667,25357.183333333334,25241.06666666667,25161.133333333335,25669.35,25473.3,0
Put,Reversal,25580.15,25582.85,25574.95,25575.4,25553.233333333337,25535.14166666667,25571.324999999997,25633.166666666668,25749.28333333333,25829.216666666664,25945.333333333325,25437.11666666667,25357.183333333334,25241.06666666667,25161.133333333335,25669.35,25473.3,1
